claim_id,reference_claim,ai_lecturenote_output,label,error_type,why_it_matters
ant_sr43,이 치료를 하지 않을 때는 사망률이 굉장히 높습니다.,"Inhalation Anthrax는 가장 흔하지 않지만 가장 심각한 증상을 일으키는 형태입니다. … 이 형태의 사망률은 치료를 받지 않을 경우 90%에서 95%까지 높습니다. 그리고 여전히 이 치료를 해도 사망률이 높기 때문에 이제 감염하는 것 자체에 대해서 주의를 해야 합니다. 세 번째로 이야기하는 것은 GI Anthrax, 즉 gastrointestinal anthrax인데 여기에서는 이제 선진국에서는 흔하지 않습니다.",Faithful ,,
ant_sr44,그래서 90% 에서 95% 까지 이어지게 되구요.,"스포어가 공기 중에 떠다니는 aerosol 형태로 흡입되면 발생하며, 양털 작업이나 양털 농장에서 노출될 수 있습니다. … 이 형태의 사망률은 치료를 받지 않을 경우 90%에서 95%까지 높습니다. … 세 번째로 이야기하는 것은 GI Anthrax, 즉 gastrointestinal anthrax인데 여기에서는 이제 선진국에서는 흔하지 않습니다.",Faithful ,,
ant_sr45,그리고 여전히 이 치료를 해도 Mortality 가 높기 때문에 이제 감염하는 것 자체에 대해서 주의를 해야 합니다.,이 형태의 사망률은 치료를 받지 않을 경우 90%에서 95%까지 높습니다. 그리고 여전히 이 치료를 해도 사망률이 높기 때문에 이제 감염하는 것 자체에 대해서 주의를 해야 합니다. … 이 사망률도 높고 치료를 받으면 사망률이 낮아질 수 있습니다.,Faithful ,,
ant_sr46,"세 번째를 이야기하는 게 이제 GI Anthrax, Gastrointestinal Anthrax 인데 여기는 이제 개발국가 Developed Country에서는 이제 흔하지는 않구요.","세 번째로 이야기하는 것은 GI Anthrax, 즉 gastrointestinal anthrax인데 여기에서는 이제 선진국에서는 흔하지 않습니다.",Faithful ,,
ant_sr47,주로 익히지 않은 덜 익힌 감염된 부산물을 먹었을 때 주로 발생하게 됩니다.,"주로 익히지 않은 또는 덜 익힌 감염된 부산물을 섭취했을 때 주로 발생합니다. … Cutaneous Anthrax의 경우, 잠복기는 주로 12일 정도이며, 대부분 5-6일 정도입니다.",Faithful ,,
ant_sr48,그래서 백신을 맞지 않거나 또는 이러면은 이제 가장 흔하게 나타나구요.,주로 익히지 않은 또는 덜 익힌 감염된 부산물을 섭취했을 때 주로 발생합니다. 그래서 백신을 맞지 않거나 이러한 경우에 가장 흔하게 나타납니다.,Faithful ,,
ant_sr49,이 사망률도 높고 그리고 치료를 해야 이제 조금 사망률이 낮아지는 그런 결과를 이끌어낼 수 있겠습니다.,그리고 여전히 이 치료를 해도 사망률이 높기 때문에 이제 감염하는 것 자체에 대해서 주의를 해야 합니다. … 이 사망률도 높고 치료를 받으면 사망률이 낮아질 수 있습니다. 그래서 치료를 하지 않으면 장 폭발이나 출혈이 발생할 수 있습니다.,Faithful ,,
ant_sr50,그래서 치료를 하지 않으면 Intestinal Perforation 그러니까 천공이 일어나거나 아니면 Sepsis가 일어날 수 있다라고 이야기를 할 수 있겠습니다.,"이 형태의 사망률은 치료를 받지 않을 경우 90%에서 95%까지 높습니다. 그리고 여전히 이 치료를 해도 사망률이 높기 때문에 이제 감염하는 것 자체에 대해서 주의를 해야 합니다. 세 번째로 이야기하는 것은 GI Anthrax, 즉 gastrointestinal anthrax인데 여기에서는 이제 선진국에서는 흔하지 않습니다. … 이 사망률도 높고 치료를 받으면 사망률이 낮아질 수 있습니다. 그래서 치료를 하지 않으면 장 폭발이나 출혈이 발생할 수 있습니다.",Substitution,perforation 및 sepsis에 대한 내용을 정확하게 서술하지 않았습니다.,
ant_sr51,Cutaneous Anthrax 같은 경우에는 Incubation Period가 주로 한 12일 정도 그러니까 하루에서 12일까지 가구요.,"세 번째로 이야기하는 것은 GI Anthrax, 즉 gastrointestinal anthrax인데 여기에서는 이제 선진국에서는 흔하지 않습니다. 주로 익히지 않은 또는 덜 익힌 감염된 부산물을 섭취했을 때 주로 발생합니다. … Cutaneous Anthrax의 경우, 잠복기는 주로 12일 정도이며, 대부분 5-6일 정도입니다. … 이 조직의 크기는 대개 1-2cm 정도이며, 이는 주로 나타나는 가장 큰 특징입니다.",Faithful ,,
ant_sr52,대부분 한 5-6일 정도가 됩니다.,"Cutaneous Anthrax의 경우, 잠복기는 주로 12일 정도이며, 대부분 5-6일 정도입니다.",Faithful ,,
ant_sr53,그래서 처음에는 이제 Painless 하긴 하지만은 나중에 진행함을 할수록 Lesion이 커지게 되고 그리고 부종이 생기게 됩니다.,처음에는 통증이 없지만 진행될수록 병변이 커지고 부종이 생깁니다.,Faithful ,,
ant_sr54,그리고 특징적으로는 이제 Black Necrotic Eschar이 생기게 됩니다.,특징적으로는 검은 죽은 조직이 생깁니다.,Omission ,eschar라는 전문 용어 대신 '검은 죽은 조직'이라는 일반적인 표현을 사용하였습니다.,
ant_sr55,그래서 이 eschar 크기가 병변 크기가 한 1-2cm 정도 되구요.,처음에는 통증이 없지만 진행될수록 병변이 커지고 부종이 생깁니다.,Faithful ,,
ant_sr56,그래서 이 eschar이 이제 주로 나타나게 되는게 이제 가장 큰 특징이다.,"이 조직의 크기는 대개 1-2cm 정도이며, 이는 주로 나타나는 가장 큰 특징입니다. … 처음 단계는 이 flu와 비슷한 그런 증상이 나타나게 됩니다.",Faithful ,,
ant_sr57,그래서 치료를 받지 않으면은 이 eschar가 이제 분열이 되면서 2-3주에 걸쳐서 이제 치유가 되구요.,따라서 치료를 받지 않으면 이 조직이 분열하여 2-3주 동안 치유됩니다.,Faithful ,,
ant_sr58,그리고 Inhalation Anthrax 같은 경우에는 이제 Incubation Period가 좀 더 깁니다.,처음에는 통증이 없지만 진행될수록 병변이 커지고 부종이 생깁니다. 특징적으로는 검은 죽은 조직이 생깁니다. … 그리고 Anthrax 같은 경우에는 이제 incubation period가 좀 더 깁니다.,Omission ,"inhalation anthrax에 대한 내용이나, 단순히 anthrax로 축약하여 서술하였습니다.",
ant_sr59,이제 이틀에서 43일 정도까지 가구요.,이제 이틀에서 43일 정도까지 가구요.,Faithful ,,
ant_sr60,처음 단계는 이 Flu와 비슷한 그런 증상이 나타나게 됩니다.,처음 단계는 이 flu와 비슷한 그런 증상이 나타나게 됩니다.,Faithful ,,
ant_sr61,"근데 이제 점점 진행함을 할수록 이제 Clinical Deterioration 그래서 뭐 예를 들어서 dyspnea라던가 아니면 Chest Pain, Productive Cough 아니면 Hemoptysis 이런 것들이 일어나게 되구요.","근데 이제 점점 진행함을 할수록 이제 clinical deterioration 그래서 뭐 예를 들어서 dyspnea라던가 아니면 chest pain, productive cough 아니면 hemoptysis 이런 것들이 일어나게 되구요. 그 외에도 이제 radiographic hallmark 라고 해서 X-ray 상에서 굉장히 이런 모습들 우리가 잘 관찰할 수 있게 됩니다.",Faithful ,,
ant_sr62,그 외에도 이제 Radiographic Hallmark 라고 해서 X-ray 상에서 굉장히 이런 모습들 우리가 잘 관찰할 수 있게 됩니다.,"근데 이제 점점 진행함을 할수록 이제 clinical deterioration 그래서 뭐 예를 들어서 dyspnea라던가 아니면 chest pain, productive cough 아니면 hemoptysis 이런 것들이 일어나게 되구요. 그 외에도 이제 radiographic hallmark 라고 해서 X-ray 상에서 굉장히 이런 모습들 우리가 잘 관찰할 수 있게 됩니다. … 그래서 여러가지 이제 이 치료가 없으면은 굉장히 사망률이 높다 라고 아까 말씀을 드렸습니다.",Faithful ,,
ant_sr63,그리고 중추신경계로 퍼지면은 Meningitis도 발생하게 되구요.,"근데 이제 점점 진행함을 할수록 이제 clinical deterioration 그래서 뭐 예를 들어서 dyspnea라던가 아니면 chest pain, productive cough 아니면 hemoptysis 이런 것들이 일어나게 되구요. … 그리고 중추신경계로 퍼지면은 meningitis도 발생하게 되구요. … 2-5일 정도 되구요.",Faithful ,,
ant_sr64,그래서 여러가지 이제 이 치료가 없으면은 굉장히 사망률이 높다 라고 아까 말씀을 드렸습니다.,그 외에도 이제 radiographic hallmark 라고 해서 X-ray 상에서 굉장히 이런 모습들 우리가 잘 관찰할 수 있게 됩니다. … 그래서 여러가지 이제 이 치료가 없으면은 굉장히 사망률이 높다 라고 아까 말씀을 드렸습니다.,Faithful ,,
ant_sr65,GI tract 쪽으로 가면은 이제 Gastrointestinal Anthrax 같은 경우에는 Incubation Period가 좀 짧습니다.,GI tract 쪽으로 가면은 이제 gastrointestinal anthrax 같은 경우에는 incubation period가 좀 짧습니다. … 이제 GI tract 쪽이기 때문에 이제 oropharyngeal diseases도 역시 일어날 수 있겠구요.,Faithful ,,
ant_sr66,2-5일 정도 되구요.,"근데 이제 점점 진행함을 할수록 이제 clinical deterioration 그래서 뭐 예를 들어서 dyspnea라던가 아니면 chest pain, productive cough 아니면 hemoptysis 이런 것들이 일어나게 되구요. … 그리고 중추신경계로 퍼지면은 meningitis도 발생하게 되구요. … 2-5일 정도 되구요.",Faithful ,,
ant_sr67,"처음 증상은 Abdominal Pain 이라던가 Nausea, Vomiting 이런 것들이 있고, 진행을 할수록 이제 심한 설사라던가 또는 이제 혈변 이런 것도 이제 놓을 수가 있겠습니다.","처음 증상은 abdominal pain 이라던가 nausea, vomiting 이런 것들이 있고, 진행을 할수록 이제 심한 설사라던가 또는 이제 혈변 이런 것도 이제 놓을 수가 있겠습니다. … 대표적으로 뭐 목에 부종이 생긴다라거나 아니면은 목이 따갑거나 이런 것도 있을 수가 있겠구요.",Faithful ,,
ant_sr68,이제 GI tract 쪽이기 때문에 이제 Oropharyngeal Diseases도 역시 일어날 수 있겠구요.,이제 GI tract 쪽이기 때문에 이제 oropharyngeal diseases도 역시 일어날 수 있겠구요. 대표적으로 뭐 목에 부종이 생긴다라거나 아니면은 목이 따갑거나 이런 것도 있을 수가 있겠구요.,Faithful ,,
ant_sr69,대표적으로 뭐 목에 부종이 생긴다라거나 아니면은 목이 따갑거나 이런 것도 있을 수가 있겠구요.,"처음 증상은 abdominal pain 이라던가 nausea, vomiting 이런 것들이 있고, 진행을 할수록 이제 심한 설사라던가 또는 이제 혈변 이런 것도 이제 놓을 수가 있겠습니다. 이제 GI tract 쪽이기 때문에 이제 oropharyngeal diseases도 역시 일어날 수 있겠구요. 대표적으로 뭐 목에 부종이 생긴다라거나 아니면은 목이 따갑거나 이런 것도 있을 수가 있겠구요.",Faithful ,,
ant_sr70,사망률도 이제 높습니다.,사망률도 이제 높습니다.,Faithful ,,
