term_id,canonical_english,english_variants,korean_phonetic,category,polarity_group,polarity_value,keep,ref_count_auto,notes
obligate_aerobe,obligate aerobe,,오블리게이트 에어로브|오블리게이트 에어롭,,,,1,1,
occupational_safety_measures,Occupational Safety Measures,,,,,,0,1,
organism,organism,,,,,,0,1,
oropharyngeal_diseases,Oropharyngeal Diseases,,오로팔란지어 디지스|오로페란지어 디지스,,,,1,1,
overview,overview,,,,,,0,1,
pa,PA,,,,,,0,1,
painless,Painless,,페인레스,,,,1,1,
pathogenesis,pathogenesis,,패서제닉|패소제네시스,,,,1,1,
pcr_testing,PCR testing,,피셜 테스팅|피씨알 테스팅,,,,1,1,
penicillin,penicillin,,페네스든|페네슬린|페니실린,,,,1,1,
phagocytosis,Phagocytosis,,파고사이토시스|파고사이트 시스|파고사이트시스,,,,1,1,
plasmid_pxo1,plasmid pXO1,,,,,,0,1,
polyglutamate_capsule,polyglutamate capsule,,폴리글루타믹 캡슐|폴리 글루타믹 캡슐,,,,1,1,
post-exposure_prophylaxis,Post-exposure prophylaxis,,포스 익스포저 프로팔렉사세스|포스 익스포셔 프로팔럭사시스|포스트 익스포져 프로팔렉스,,,,1,1,
productive_cough,Productive Cough,,프로덕티브 컵|프로덕티브 코프,,,,1,1,
protective,protective,,,,,,0,1,
protective_immunity,protective immunity,,,,,,1,1,
public,public,,,,,,0,1,
public_health,public health,,퍼블릭헬스|퍼블릭 헬스,,,,1,1,
public_health_response,Public Health Response,,퍼블릭 헬스 리스펀스,,,,1,1,
pxo1_plasmid,pXO1 plasmid,,,,,,0,1,
radiographic_hallmark,Radiographic Hallmark,,레드 그래픽 허머크|레디오브라픽 허머크|라디오그래픽 홀마크,,,,1,1,
rod-shaped,rod-shaped,,로드쉽트|로드쉐이프|로드쉐이프트|로드 쉐입,,,,1,1,
scientific_name,scientific name,,,,,,0,1,
shock,shock,,쇼크,,,,1,1,
sterilization,sterilization,,스테롤레이제이션|세럴레이제이션|스테렐라이제이션,,,,1,1,
supportive_care,supportive care,,,,,,0,1,
tissue_edema,Tissue Edema,,티슈 아데마|티슈 이데마|티슈 에데마,,,,1,1,
toxic,toxic,,,,,,0,1,
toxin,toxin,,,,,,1,1,
types_of_anthrax,types of anthrax,,,,,,0,1,
typical,typical,,,,,,0,1,
vaccinated_animals,vaccinated animals,,,,,,0,1,
vaccination,Vaccination,,백스네이션|백신에이션|백시네이션,,,,1,1,
vomiting,Vomiting,,버미팅|보미팅,,,,1,1,
x-ray,X-ray,,,,,,1,1,
zinc_dependent_metalloprotease,Zinc Dependent Metalloprotease,,징크 디펜던트 메탈로 프로테이즈|징크 디펜던트 메탈로프로테이즈,,,,1,1,
