claim_id,reference_claim,ai_lecturenote_output,label,error_type,why_it_matters,review_note
ant_sr11,그래서 nucleotide 합성이라든가 nucleotide 통합 이쪽에 간섭을 하게 됩니다.,따라서 nucleotide 합성이나 nucleotide 통합과 같은 부분에 간섭하게 되면 tumor cell의 S-phase 프로그레이션을 억제하게 됩니다.,Faithful,,,
ant_sr12,따라서 이제 이 tumor cell의 S-phase progression을 진행하는 거를 억제를 하게 되고요.,따라서 nucleotide 합성이나 nucleotide 통합과 같은 부분에 간섭하게 되면 tumor cell의 S-phase 프로그레이션을 억제하게 됩니다. … 이러한 약물들은 phase specific하다는 특징을 가지게 됩니다.,Faithful,,,
ant_sr13,그래서 얘에 대한 이제 Representative concept는 DNA synthesis inhibitor가 되겠고요.,Antimetabolite는 주로 DNA 합성을 방해하는데 사용됩니다. … 이로 인해 DNA synthesis inhibitor와 같은 대표적인 개념으로 분류될 수 있습니다. … 반면 alkylating agent는 DNA에 직접 작용하여 DNA 크로스 링크를 형성하여 DNA 복제를 방해합니다. 이로 인해 DNA 손상이 발생하고 세포 사멸이 유도됩니다.,Faithful,,,
ant_sr14,그래서 얘들은 이제 phase-specific하다라는 것이 특징이 되겠습니다.,이러한 약물들은 phase specific하다는 특징을 가지게 됩니다. … 이러한 약물들은 phase specific하지 않다고 이야기할 수 있습니다. … 이로 인해 M-phase arrest에 영향을 미치며 cell division이 차단됩니다.,Faithful,,,
ant_sr15,alkylating agents 같은 경우에는 DNA에 직접 작용을 하고요.,따라서 nucleotide 합성이나 nucleotide 통합과 같은 부분에 간섭하게 되면 tumor cell의 S-phase 프로그레이션을 억제하게 됩니다. 이로 인해 DNA synthesis inhibitor와 같은 대표적인 개념으로 분류될 수 있습니다. … 반면 alkylating agent는 DNA에 직접 작용하여 DNA 크로스 링크를 형성하여 DNA 복제를 방해합니다. 이로 인해 DNA 손상이 발생하고 세포 사멸이 유도됩니다.,Faithful,,,
ant_sr16,이 어떻게 작용하는가라고 하면은 DNA에 cross-link를 형성을 해서 이 DNA 복제를 막는다라고 볼 수 있겠습니다.,이로 인해 DNA synthesis inhibitor와 같은 대표적인 개념으로 분류될 수 있습니다. … 반면 alkylating agent는 DNA에 직접 작용하여 DNA 크로스 링크를 형성하여 DNA 복제를 방해합니다. 이로 인해 DNA 손상이 발생하고 세포 사멸이 유도됩니다.,Faithful,,,
ant_sr17,그래서 DNA가 이로 인해서 데미지를 받고 세포사를 유도한다라고 이야기를 할 수 있겠고요.,이로 인해 DNA synthesis inhibitor와 같은 대표적인 개념으로 분류될 수 있습니다. … 반면 alkylating agent는 DNA에 직접 작용하여 DNA 크로스 링크를 형성하여 DNA 복제를 방해합니다. 이로 인해 DNA 손상이 발생하고 세포 사멸이 유도됩니다. … 이로 인해 M-phase arrest에 영향을 미치며 cell division이 차단됩니다.,Faithful,,,
ant_sr18,그래서 얘들은 이 phase의 specific하지 않다라고 이야기를 할 수 있겠습니다.,이러한 약물들은 phase specific하다는 특징을 가지게 됩니다. … 이러한 약물들은 phase specific하지 않다고 이야기할 수 있습니다. … 이로 인해 M-phase arrest에 영향을 미치며 cell division이 차단됩니다.,Faithful,,,
ant_sr19,microtubule inhibitors 같은 경우에는 기본적으로 mitotic spindle에 작용을 하고요.,microtubule inhibitor는 주로 mitotic spindle에 작용하여 microtubule의 조직이나 분해에 영향을 줍니다.,Faithful,,,
ant_sr20,그래서 microtubule의 조립이라든가 분해에 관여를 하게 됩니다.,microtubule inhibitor는 주로 mitotic spindle에 작용하여 microtubule의 조직이나 분해에 영향을 줍니다.,Faithful,,,
ant_sr21,그래서 이 아이들은 이제 M-phase arrest 에 관여를 합니다.,이러한 약물들은 phase specific하지 않다고 이야기할 수 있습니다. … 이로 인해 M-phase arrest에 영향을 미치며 cell division이 차단됩니다.,Faithful,,,
ant_sr22,그래서 이 M-phase가 arrest 되기 때문에 cell의 division 자체가 막힌다라고 이야기를 할 수 있겠죠.,이러한 약물들은 phase specific하지 않다고 이야기할 수 있습니다. … 이로 인해 M-phase arrest에 영향을 미치며 cell division이 차단됩니다.,Faithful,,,
ant_sr23,이제 cytotoxic chemotherapy로 넘어가서 targeted therapy를 이야기를 할 건데요.,이제 cytotoxic chemotherapy를 넘어서 targeted therapy에 대해 이야기할 때는 특정 분자적 타겟을 향해 작용한다는 점을 강조할 수 있습니다.,Faithful,,,
ant_sr24,여기는 이제 specific molecular target을 이제 목표로 한다라고 이야기할 수 있겠습니다.,"이제 cytotoxic chemotherapy를 넘어서 targeted therapy에 대해 이야기할 때는 특정 분자적 타겟을 향해 작용한다는 점을 강조할 수 있습니다. … 얘들에 대한 타겟은 EGFR, HER2, BRAF 또는 VEGF Pathway가 있겠습니다. 그래서 이 Targeted Therapy는 기본적으로 Classical Cytotoxic Chemotherapy보다 훨씬 더 셀렉티브하다. … 여기는 이제 Hormone Dependent Tumor을 치료하는데 쓰이게 됩니다.",Faithful,,,
ant_sr25,"그래서 대표적으로 Tyrosine kinase inhibitor 또는 Monoclonal antibody, Signal transduction inhibitor이 있겠고요.","그래서 대표적으로 Tyrosine Kinase Inhibitor 또는 Monoclonal Antibody, Signal Transduction Inhibitor이 있겠고요. 얘들에 대한 타겟은 EGFR, HER2, BRAF 또는 VEGF Pathway가 있겠습니다.",Faithful,,,
ant_sr26,"얘들을 위한 타겟은 EGFR, HER2, BCR-ABL 또는 VEGF Pathway가 있겠습니다.","그래서 대표적으로 Tyrosine Kinase Inhibitor 또는 Monoclonal Antibody, Signal Transduction Inhibitor이 있겠고요. 얘들에 대한 타겟은 EGFR, HER2, BRAF 또는 VEGF Pathway가 있겠습니다.",Faithful,,,
ant_sr27,그래서 이 targeted therapy는 기본적으로 classical cytotoxic chemotherapy보다 훨씬 더 selective하다.,그래서 이 Targeted Therapy는 기본적으로 Classical Cytotoxic Chemotherapy보다 훨씬 더 셀렉티브하다. … 그 외에 Hormonal Therapy가 있겠는데요.,Faithful,,,
ant_sr28,그래서 환자 중심적으로 치료를 할 수 있다라는 것이 장점이 되겠습니다.,그래서 환자 중심적으로 치료를 할 수 있다라는 것이 장점이 되겠습니다.,Faithful,,,
ant_sr29,그 외에 hormonal therapy가 있겠는데요.,그래서 이 Targeted Therapy는 기본적으로 Classical Cytotoxic Chemotherapy보다 훨씬 더 셀렉티브하다. … 그 외에 Hormonal Therapy가 있겠는데요. … 이 Hormonal Therapy가 중점적으로 타겟을 갖는 것은 Estrogen 또는 Androgen Receptor이 되겠습니다.,Faithful,,,
ant_sr30,여기는 이제 hormone-dependent tumor을 치료하는 데 쓰이게 됩니다.,여기는 이제 Hormone Dependent Tumor을 치료하는데 쓰이게 됩니다. … 따라서 이 항암제들은 기본적으로 Tumor Growth가 Endocrine Signaling에 의해서 판단이 되어질 때 이 Therapy를 사용한다고 볼 수 있겠습니다.,Faithful,,,
ant_sr31,이 아이들의 종류는 Aromatase inhibitor이라든가 SERMs 또는 Antiandrogen이 있겠고요.,이 아이들의 종류는 Aromatase Inhibitor이라든가 SERMS 또는 Anti-Androgen이 있겠고요. 이 Hormonal Therapy가 중점적으로 타겟을 갖는 것은 Estrogen 또는 Androgen Receptor이 되겠습니다.,Faithful,,,
ant_sr32,이 hormonal therapy가 중점적으로 타깃을 갖는 것은 Estrogen 또는 Androgen receptor이 되겠습니다.,그래서 환자 중심적으로 치료를 할 수 있다라는 것이 장점이 되겠습니다. 그 외에 Hormonal Therapy가 있겠는데요. … 이 아이들의 종류는 Aromatase Inhibitor이라든가 SERMS 또는 Anti-Androgen이 있겠고요. 이 Hormonal Therapy가 중점적으로 타겟을 갖는 것은 Estrogen 또는 Androgen Receptor이 되겠습니다. 따라서 이 항암제들은 기본적으로 Tumor Growth가 Endocrine Signaling에 의해서 판단이 되어질 때 이 Therapy를 사용한다고 볼 수 있겠습니다. 마지막으로 Immune Therapy 같은 경우에는 기본적으로 Anti-Tumor Immune Response를 좀 더 강화하는 역할이고요.,Faithful,,,
ant_sr33,따라서 이 항암제들은 기본적으로 tumor growth가 endocrine signaling에 의해서 이제 판단이 되어질 때 이 therapy를 사용한다라고 볼 수 있겠습니다.,여기는 이제 Hormone Dependent Tumor을 치료하는데 쓰이게 됩니다. … 이 Hormonal Therapy가 중점적으로 타겟을 갖는 것은 Estrogen 또는 Androgen Receptor이 되겠습니다. 따라서 이 항암제들은 기본적으로 Tumor Growth가 Endocrine Signaling에 의해서 판단이 되어질 때 이 Therapy를 사용한다고 볼 수 있겠습니다. 마지막으로 Immune Therapy 같은 경우에는 기본적으로 Anti-Tumor Immune Response를 좀 더 강화하는 역할이고요.,Faithful,,,
ant_sr34,마지막으로 immunotherapy 같은 경우에는 기본적으로 이 anti-tumor immune response 를 좀 더 강화하는 역할이고요.,"따라서 이 항암제들은 기본적으로 Tumor Growth가 Endocrine Signaling에 의해서 판단이 되어질 때 이 Therapy를 사용한다고 볼 수 있겠습니다. 마지막으로 Immune Therapy 같은 경우에는 기본적으로 Anti-Tumor Immune Response를 좀 더 강화하는 역할이고요. 여기에 대한 분류는 Immune Checkpoint Inhibitor, Monoclonal Antibody 또는 Cellular Therapy가 있겠습니다. … 이뮨 테라피의 목표는 기본적으로 면역 억제를 극복하고 T-cell 활동을 회복하는 것입니다.",Faithful,,,
ant_sr35,"어 여기에 대한 분류는 Immune checkpoint inhibitor, Monoclonal antibody 또는 Cellular therapy가 있겠습니다.","따라서 이 항암제들은 기본적으로 Tumor Growth가 Endocrine Signaling에 의해서 판단이 되어질 때 이 Therapy를 사용한다고 볼 수 있겠습니다. 마지막으로 Immune Therapy 같은 경우에는 기본적으로 Anti-Tumor Immune Response를 좀 더 강화하는 역할이고요. 여기에 대한 분류는 Immune Checkpoint Inhibitor, Monoclonal Antibody 또는 Cellular Therapy가 있겠습니다.",Faithful,,,
ant_sr36,"타겟으로 하는 것은 PD-1, PD-L1, CTLA-4가 있겠고요.","마지막으로 Immune Therapy 같은 경우에는 기본적으로 Anti-Tumor Immune Response를 좀 더 강화하는 역할이고요. … 타겟으로 하는 것은 PD-1, PD-L1, CTLA-4가 있겠고요. 이뮨 테라피의 목표는 기본적으로 면역 억제를 극복하고 T-cell 활동을 회복하는 것입니다.",Faithful,,,
ant_sr37,이 immunotherapy의 목표는 기본적으로 immune 억제를 없애고 그리고 T-Cell activity를 다시 복원하는 것으로 알려져 있습니다.,"마지막으로 Immune Therapy 같은 경우에는 기본적으로 Anti-Tumor Immune Response를 좀 더 강화하는 역할이고요. 여기에 대한 분류는 Immune Checkpoint Inhibitor, Monoclonal Antibody 또는 Cellular Therapy가 있겠습니다. … 이뮨 테라피의 목표는 기본적으로 면역 억제를 극복하고 T-cell 활동을 회복하는 것입니다. … 이것으로 녹음을 마치도록 하겠습니다.",Faithful,,,
ant_sr38,따라서 오늘은 이 기본적으로 항암제들의 분류 그리고 그 항암제들의 자세한 종류와 기전을 다뤄보았습니다.,이뮨 테라피의 목표는 기본적으로 면역 억제를 극복하고 T-cell 활동을 회복하는 것입니다. 따라서 오늘은 주로 항암제의 분류와 각 항암제의 세부 종류 및 기준에 대해 다뤄보았습니다.,Faithful,,,
ant_sr39,이것으로 녹음을 마치도록 하겠습니다.,이것으로 녹음을 마치도록 하겠습니다.,Faithful,,,
ant_sr40,감사합니다.,감사합니다.,Faithful,,,
