claim_id,reference_claim,gpt4o_ailn_post_output,label,error_type,why_it_matters
diu_sr14,부작용으로는 metabolic acidosis가 발생할 수 있고 또 potassium sparing diuretics가 아닌 다른 모든 diuretics와 똑같이 hypokalemia가 발생할 수 있습니다.,"이 약제의 대표적인 사용처로는 glaucoma에서 안압을 낮춰주는 효과가 있어 glaucoma 환자에게 사용될 수 있으며, bicarbonate가 소변으로 손실되는 작용으로 인해 대사 알칼로시스나 metabolic alkalosis를 교정하는 데에도 사용될 수 있습니다. … 이 약제의 대표적인 사용처로는 glaucoma에서 안압을 낮춰주는 효과가 있어 glaucoma 환자에게 사용될 수 있으며, bicarbonate가 소변으로 손실되는 작용으로 인해 대사 알칼로시스나 metabolic alkalosis를 교정하는 데에도 사용될 수 있습니다. 이제 부작용에 대해 알아보겠습니다. 부작용으로는 metabolic alkalosis, 산성뇨증이 발생할 수 있으며, potassium-sparing diuretics와 같이 hyperkalemia가 발생할 수 있습니다. 또한 sulfonamide allergy 교차 반응이 발생할 수 있습니다. 특히 carbonic anhydrase 억제제들은 이뇨 효과가 상대적으로 약하기 때문에 주로 다른 목적으로 사용되며, fluid remover로는 잘 사용되지 않습니다.",Polarity error,"hyperkalemia로 잘못 기재되었으며, hypokalemia가 올바른 내용입니다.",
diu_sr15,또한 sulfonamide allergy 교차 반응도 일어날 수 있게 됩니다.,또한 sulfonamide allergy 교차 반응이 발생할 수 있습니다.,Faithful,,
diu_sr16,그리고 특히 이 carbonic anhydrase inhibitor들은 이뇨 효과 자체는 약하기 때문에 fluid를 removal 목적으로는 잘 안쓰고 앞서 말한 목적들로 사용하게 됩니다.,"특히 carbonic anhydrase 억제제들은 이뇨 효과가 상대적으로 약하기 때문에 주로 다른 목적으로 사용되며, fluid remover로는 잘 사용되지 않습니다. … 오늘 배울 이뇨제들 중에서 가장 중요한 이뇨제로, 이들의 작용 사이트는 신장의 루프 부분인 Thick Ascending Limb가 됩니다.",Faithful,,
diu_sr17,이제 loop diuretics에 대해 알아보겠습니다.,"부작용으로는 metabolic alkalosis, 산성뇨증이 발생할 수 있으며, potassium-sparing diuretics와 같이 hyperkalemia가 발생할 수 있습니다. … 이제 loop diuretics에 대해 알아보겠습니다.",Faithful,,
diu_sr18,오늘 배울 이뇨제들 중에 가장 중요한 이뇨제가 되고 이 이뇨제의 작동 site는 thick ascending limb of loop of henle가 되겠습니다.,"특히 carbonic anhydrase 억제제들은 이뇨 효과가 상대적으로 약하기 때문에 주로 다른 목적으로 사용되며, fluid remover로는 잘 사용되지 않습니다. … 이제 loop diuretics에 대해 알아보겠습니다. 오늘 배울 이뇨제들 중에서 가장 중요한 이뇨제로, 이들의 작용 사이트는 신장의 루프 부분인 Thick Ascending Limb가 됩니다.",Faithful,,
diu_sr19,"약제 이름들로는 furosemide, bumetanide, torsemide, ethacrynic acid 등이 있게 됩니다.","대표적인 약제로는 furosemide, bumetanide, torsemide, ethacrynic acid 등이 있습니다.",Faithful,,
diu_sr20,이제 이 loop diuretics의 메커니즘을 보겠습니다.,"부작용으로는 metabolic alkalosis, 산성뇨증이 발생할 수 있으며, potassium-sparing diuretics와 같이 hyperkalemia가 발생할 수 있습니다. … 이제 loop diuretics에 대해 알아보겠습니다.",Faithful,,
diu_sr21,"이들은 나트륨, potassium, 2 chloride cotransporter를 차단하게 됩니다.","이들의 메커니즘은 나트륨, potassium, 염화물 이온을 신장에서 잡아들이는 cotransporter를 차단하여 이온들이 소변으로 배설되도록 하는 것입니다. 포타슘은 루프에서 계속 재이용되기 때문에 루프에 패시브 특이성이 생기게 되는데, 이로 인해 칼슘 및 마그네슘의 재흡수도 감소하게 됩니다. 결국 나트륨, 포타슘, 클로라이드, 칼슘, 마그네슘이 모두 손실되게 됩니다. … 결국 나트륨, 포타슘, 클로라이드, 칼슘, 마그네슘이 모두 손실되게 됩니다.",Faithful,,
diu_sr22,"또는 NKCC2, NKCC를 차단한다고 해도 상관없습니다.",그러나 NKCC가 차단되면 네프론의 medulla가 희석되어 collecting duct에서의 물 재흡수가 감소하고 수변량이 증가하게 됩니다.,Omission,"NKCC에 대한 설명이 누락되었으며, 이는 기존 AILN 모델과 동일한 오류 양상입니다.",
diu_sr23,"원래 NKCC는 나트륨 하나, potassium 하나, chloride 두개를 cell 안으로 들어오는 cotransporter인데 이게 차단되게 되면 나트륨, potassium, chloride 이온들이 tubular lumen에 잔류하게 되고 소변으로 빠져나가게 됩니다.","이들의 메커니즘은 나트륨, potassium, 염화물 이온을 신장에서 잡아들이는 cotransporter를 차단하여 이온들이 소변으로 배설되도록 하는 것입니다. 포타슘은 루프에서 계속 재이용되기 때문에 루프에 패시브 특이성이 생기게 되는데, 이로 인해 칼슘 및 마그네슘의 재흡수도 감소하게 됩니다. … 결국 나트륨, 포타슘, 클로라이드, 칼슘, 마그네슘이 모두 손실되게 됩니다.",Faithful,,
diu_sr24,그리고 이 potassium은 lumen으로 계속 recycling이 되기 때문에 lumen에 positive charge가 생기게 되는데 이것 때문에 paracellular 경로로 칼슘이랑 마그네슘 reabsorption도 감소하게 됩니다.,"이들의 메커니즘은 나트륨, potassium, 염화물 이온을 신장에서 잡아들이는 cotransporter를 차단하여 이온들이 소변으로 배설되도록 하는 것입니다. 포타슘은 루프에서 계속 재이용되기 때문에 루프에 패시브 특이성이 생기게 되는데, 이로 인해 칼슘 및 마그네슘의 재흡수도 감소하게 됩니다. 결국 나트륨, 포타슘, 클로라이드, 칼슘, 마그네슘이 모두 손실되게 됩니다.",Substitution,"원문과 달리 '패시브 특이성', lumen 대신 '루프'와 같은 상이한 표현을 사용하였습니다.",
diu_sr25,"그래서 결국 나트륨, potassium, chloride, 칼슘, 마그네슘 전부 다 손실되게 됩니다.","이들의 메커니즘은 나트륨, potassium, 염화물 이온을 신장에서 잡아들이는 cotransporter를 차단하여 이온들이 소변으로 배설되도록 하는 것입니다. 포타슘은 루프에서 계속 재이용되기 때문에 루프에 패시브 특이성이 생기게 되는데, 이로 인해 칼슘 및 마그네슘의 재흡수도 감소하게 됩니다. 결국 나트륨, 포타슘, 클로라이드, 칼슘, 마그네슘이 모두 손실되게 됩니다.",Faithful,,
diu_sr26,"또한 이 loop diuretics는 countercurrent multiplier도 해소를 하는데 이게 무슨 말이냐면, thick ascending limb이 원래 medullary interstitium의 농도를 높여주는 역할을 하는데 이 NKCC가 막히게 되면 이 nephron의 medulla가 희석되기 때문에 collecting duct에서 water reabsorption이 감소하게 돼서 소변량도 증가하게 됩니다.","포타슘은 루프에서 계속 재이용되기 때문에 루프에 패시브 특이성이 생기게 되는데, 이로 인해 칼슘 및 마그네슘의 재흡수도 감소하게 됩니다. … 그러나 NKCC가 차단되면 네프론의 medulla가 희석되어 collecting duct에서의 물 재흡수가 감소하고 수변량이 증가하게 됩니다. … 또한 칼슘 손실로 인해 고칼슘혈증 환자에게 IV saline 및 furosemide를 투여하면 칼슘 배설이 증가할 수 있습니다.",Omission,"원문 중 두뇌에 대한 설명은 완전히 잘못된 내용이 혼입된 결과입니다. 뒷부분의 설명은 타당하나, NKCC의 본래 작동 원리에 대한 설명이 누락되었습니다.",
diu_sr27,가장 강력한 이뇨제이고 이 이뇨제 사용처들은 Acute Pulmonary Edema에서 IV furosemide를 통해 빠른 venodilation과 diuresis를 일으킬 때 사용할 수 있고 또한 Congestive Heart Failure에서 만성 fluid management에도 사용됩니다.,"그러나 NKCC가 차단되면 네프론의 medulla가 희석되어 collecting duct에서의 물 재흡수가 감소하고 수변량이 증가하게 됩니다. IV furosemide는 강력한 이뇨제로, 급성 폐부종에서 빠른 탈수 및 이뇨를 유발하는 데 사용될 수 있으며 만성 심부전에서 체액 관리에도 사용됩니다. 또한 칼슘 손실로 인해 고칼슘혈증 환자에게 IV saline 및 furosemide를 투여하면 칼슘 배설이 증가할 수 있습니다. 또한 신증후군이나 만성 신부전성 부종에서도 사용할 수 있으며, 신질환으로 인한 신기능이 저하된 경우에도 효과적입니다.",Substitution,venodilation과 diuresis를 '탈수 및 이뇨'로 부정확하게 번역하였습니다.,
diu_sr28,또한 아까 말했다시피 칼슘이 loss되기 때문에 Hypercalcemia 환자에게 IV saline과 furosemide를 주게 되면 칼슘을 버릴 수가 있게 됩니다.,"또한 hyponatremia도 발생할 수 있고 hypercalcemia, hypomagnesemia 또한 발생할 수 있습니다. … 또한 hyperuricemia도 발생할 수 있는데 이는 좁은 collecting tubule에서 요산 분비와의 경쟁 때문에 발생할 수 있습니다. 또한 sulfa allergy를 유발할 수 있기 때문에 sulfa를 제외한 다른 약물을 사용해야 합니다.",Faithful,,
diu_sr29,또한 Nephrotic Syndrome이나 CKD Edema에서도 사용할 수 있고 임상적으로 중요하게 Glomerular Filtration Rate가 낮아도 잘 사용할 수 있습니다.,"hypercalcemia가 발생할 수 있고 hyperglycemia, hyperuricemia가 발생할 수 있습니다. … 특히 이 thiazide diuretics는 glomerular filtration rate가 30보다 작으면 효과가 없기 때문에 그럴 때는 loop diuretics를 써줘야 되겠습니다.",Minor rewrite,GFR 저하를 '신기능이 저하된 경우'로 대체하여 서술하였습니다.,
diu_sr30,이제 side effect에 대해 알아보겠습니다.,이제 thiazide diuretics에 대해 알아보겠습니다. … 이제 작용 메커니즘에 대해 알아보겠습니다.,Faithful,,
diu_sr31,당연히 Hypokalemia가 나타날 수 있고 또한 Metabolic Alkalosis도 나타날 수 있습니다.,"부작용으로는 고칼륨혈증 및 대사성 알칼로시스가 발생할 수 있습니다. 그 이유는 hyperkalemia가 나타나서 K가 손실되었기 때문에 aldosterone이 자극을 받아 aldosterone이 proton을 추가로 배출시켜 metabolic alkalosis가 발생할 수 있습니다. 또한 hyponatremia도 발생할 수 있고 hypercalcemia, hypomagnesemia 또한 발생할 수 있습니다. … 또한 hyperuricemia도 발생할 수 있는데 이는 좁은 collecting tubule에서 요산 분비와의 경쟁 때문에 발생할 수 있습니다.",Polarity error,고칼륨혈증이 아닌 저칼륨혈증이 올바른 내용입니다.,
diu_sr32,그 이유는 Hypokalemia가 나타나서 즉 K가 손실이 됐는데 이러면 Aldosterone이 자극을 받게 되고 Aldosterone이 H+을 추가로 배출시켜주기 때문에 Metabolic Alkalosis까지 나타날 수 있습니다.,부작용으로는 고칼륨혈증 및 대사성 알칼로시스가 발생할 수 있습니다. 그 이유는 hyperkalemia가 나타나서 K가 손실되었기 때문에 aldosterone이 자극을 받아 aldosterone이 proton을 추가로 배출시켜 metabolic alkalosis가 발생할 수 있습니다.,Polarity error,'hyperkalemia가 나타나서 K가 손실'이라는 표현은 'hypokalemia가 나타나서'로 수정하는 것이 적절합니다.,
diu_sr33,"또한 Hyponatremia도 일어날 수 있고 hypocalcemia, hypomagnesemia 당연히 일어날 수 있습니다.","또한 hyponatremia도 발생할 수 있고 hypercalcemia, hypomagnesemia 또한 발생할 수 있습니다. … 또한 hyperuricemia도 발생할 수 있는데 이는 좁은 collecting tubule에서 요산 분비와의 경쟁 때문에 발생할 수 있습니다. 또한 sulfa allergy를 유발할 수 있기 때문에 sulfa를 제외한 다른 약물을 사용해야 합니다.",Polarity error,"hypercalcemia가 아닌 hypocalcemia가 적절합니다. 단, Na 및 Mg에 대해서는 hypo로 올바르게 기재하였습니다.",
diu_sr34,특히 ototoxicity가 나타날 수 있는데 IV로 고용량을 주입하게 되면 더욱 더 위험하게 됩니다.,특히 ototoxicity가 발생할 수 있는데 과용량을 투여하면 더 위험해집니다. 또한 hyperuricemia도 발생할 수 있는데 이는 좁은 collecting tubule에서 요산 분비와의 경쟁 때문에 발생할 수 있습니다.,Minor rewrite,iv 투여 경로에 대한 설명이 누락되었습니다. 다만 iv 투여가 아니더라도 고용량 사용 시 위험성이 존재한다는 내용은 타당합니다.,
diu_sr35,또한 Hyperuricemia도 나타날 수 있는데 이는 Proximal convoluted tubule에서 Uric Acid 분비와의 경쟁 때문에 나타나게 됩니다.,"또한 hyponatremia도 발생할 수 있고 hypercalcemia, hypomagnesemia 또한 발생할 수 있습니다. 특히 ototoxicity가 발생할 수 있는데 과용량을 투여하면 더 위험해집니다. 또한 hyperuricemia도 발생할 수 있는데 이는 좁은 collecting tubule에서 요산 분비와의 경쟁 때문에 발생할 수 있습니다. 또한 sulfa allergy를 유발할 수 있기 때문에 sulfa를 제외한 다른 약물을 사용해야 합니다. … 이 이뇨제가 작용하는 사이트는 조기 distal convoluted tubule이며 대표적인 약물로는 hydrochlorothiazide, chlorthalidone, metolazone, indapamide 등이 있습니다.",Substitution,PCT를 '좁은CT'라는 존재하지 않는 용어로 변형하여 기재하였습니다.,
diu_sr36,또한 Ethacrynic acid를 제외하면 다 sulfa가 들어가기 때문에 sulfa allergy를 유발할 수 있게 됩니다.,"또한 hyponatremia도 발생할 수 있고 hypercalcemia, hypomagnesemia 또한 발생할 수 있습니다. … 또한 hyperuricemia도 발생할 수 있는데 이는 좁은 collecting tubule에서 요산 분비와의 경쟁 때문에 발생할 수 있습니다. 또한 sulfa allergy를 유발할 수 있기 때문에 sulfa를 제외한 다른 약물을 사용해야 합니다.",Omission,Ethacrynic acid라는 약물명이 누락되었습니다.,
diu_sr37,이제 thiazide Diuretics에 대해 알아보겠습니다.,"이제 thiazide diuretics에 대해 알아보겠습니다. 이 이뇨제가 작용하는 사이트는 조기 distal convoluted tubule이며 대표적인 약물로는 hydrochlorothiazide, chlorthalidone, metolazone, indapamide 등이 있습니다. 이제 작용 메커니즘에 대해 알아보겠습니다.",Faithful,,
diu_sr38,"이 이뇨제가 작용하는 site는 Early Distal convoluted tubule이 되고 대표적인 약제로는 Hydrochlorothiazide, Chlorthalidone, Metolazone, Indapamide 등이 있습니다.","또한 hyperuricemia도 발생할 수 있는데 이는 좁은 collecting tubule에서 요산 분비와의 경쟁 때문에 발생할 수 있습니다. … 이 이뇨제가 작용하는 사이트는 조기 distal convoluted tubule이며 대표적인 약물로는 hydrochlorothiazide, chlorthalidone, metolazone, indapamide 등이 있습니다.",Faithful,,
diu_sr39,이제 메커니즘에 대해 알아보겠습니다.,이제 이 thiazide diuretics의 사용처를 알아보겠습니다.,Faithful,,
diu_sr40,"이 친구들은 나트륨, chloride cotransporter를 차단하게 되고 그래서 NCC가 막히면 결국 나트륨이 Distal convoluted tubule에서 흡수가 안 된다는 것이기 때문에 더 하류에 있는 collecting duct로 더 많은 나트륨이 내려가게 됩니다.","이 이뇨제가 작용하는 사이트는 조기 distal convoluted tubule이며 대표적인 약물로는 hydrochlorothiazide, chlorthalidone, metolazone, indapamide 등이 있습니다. … 이 약물들은 sodium-chloride cotransporter를 차단하여 NCC를 막아 나트륨이 distal convoluted tubule에서 재흡수되지 못하게 합니다. 이로 인해 더 많은 나트륨이 collecting duct로 이동하게 되고, 이뇨에서 나트륨을 흡수하면서 칼륨과 수소를 배출하게 됩니다.",Faithful,,
diu_sr41,그럼 거기서 있는 ENaC에서 나트륨을 흡수를 하게 되면서 potassium이랑 H를 같이 버리게 됩니다.,"이 약물들은 sodium-chloride cotransporter를 차단하여 NCC를 막아 나트륨이 distal convoluted tubule에서 재흡수되지 못하게 합니다. 이로 인해 더 많은 나트륨이 collecting duct로 이동하게 되고, 이뇨에서 나트륨을 흡수하면서 칼륨과 수소를 배출하게 됩니다.",Substitution,ENaC를 '이뇨'로 오기하였습니다.,
diu_sr42,거기다가 이뇨 자체로 volume이 줄어들기 때문에 aldosterone도 같이 상승하게 돼서 potassium이랑 proton 손실이 더 심해지게 되는 것입니다.,"이로 인해 더 많은 나트륨이 collecting duct로 이동하게 되고, 이뇨에서 나트륨을 흡수하면서 칼륨과 수소를 배출하게 됩니다. 또한 체액량이 감소하면 aldosterone이 증가하여 칼륨과 수소의 손실이 더 심해지게 됩니다.",Faithful,,
diu_sr43,이제 여기서 loop diuretics와 칼슘 이온에 대한 효과가 정반대인데 NCC가 차단이 되면 나트륨이 cell 내부로 유입되는 게 감소하게 됩니다.,"이로 인해 더 많은 나트륨이 collecting duct로 이동하게 되고, 이뇨에서 나트륨을 흡수하면서 칼륨과 수소를 배출하게 됩니다. … 이제 여기서 loop diuretics와 calcium ion에 대한 효과가 정반대인데 NCC가 차단되면 sodium이 세포 내부로 유입하는 것이 감소하게 됩니다. 그러면 이제 basolateral에 위치한 NCX가 더 많은 calcium ion을 내보내기 때문에 lumen에서의 calcium ion 유입이 증가하게 됩니다. … 이제 이 thiazide diuretics의 사용처를 알아보겠습니다.",Faithful,,
diu_sr44,그럼 basolateral에 위치하게 있는 NCX가 더 열심히 칼슘 이온을 내보내기 때문에 lumen에서의 칼슘 이온이 유입이 증가하게 됩니다.,또한 체액량이 감소하면 aldosterone이 증가하여 칼륨과 수소의 손실이 더 심해지게 됩니다. 이제 여기서 loop diuretics와 calcium ion에 대한 효과가 정반대인데 NCC가 차단되면 sodium이 세포 내부로 유입하는 것이 감소하게 됩니다. 그러면 이제 basolateral에 위치한 NCX가 더 많은 calcium ion을 내보내기 때문에 lumen에서의 calcium ion 유입이 증가하게 됩니다. 이로 인해 calcium의 흡수량이 증가하고 hypercalciuria가 발생할 수 있다는 차이가 있습니다.,Faithful,,
diu_sr45,그래서 칼슘 reabsorption은 결국 증가하는 것이고 hypercalcemia가 나타난다는 차이가 있습니다.,"hypercalcemia가 발생할 수 있고 hyperglycemia, hyperuricemia가 발생할 수 있습니다.",Polarity error,해당 문장에서 hypercalciuria가 발생한다는 설명은 소변(urine)이 아닌 혈중(blood) 농도에 대한 설명이므로 부적절합니다.,
diu_sr46,이제 이 thiazide diuretics의 사용처를 알아보겠습니다.,특히 이 thiazide diuretics는 glomerular filtration rate가 30보다 작으면 효과가 없기 때문에 그럴 때는 loop diuretics를 써줘야 되겠습니다. 이제 potassium-sparing diuretics에 대해 알아보겠습니다.,Faithful,,
diu_sr47,우선 hypertension의 1차 치료제로 사용되고 특히 elderly나 black patient에게 사용됩니다.,우선 hypertension의 1차 치료제로 사용되며 특히 elderly non-black patients에게 사용됩니다. 또한 mild edema에도 사용되며 hypercalciuria 환자나 calcium oxalate 신장결석이 있는 환자에게도 사용할 수 있습니다.,Polarity error,원문은 black이나 non-black으로 잘못 기재하였습니다.,
diu_sr48,그리고 mild edema에도 사용되고 hypercalciuria 환자나 아니면 calcium oxalate 신장결석이 있는 환자에게도 사용할 수 있습니다.,"이로 인해 calcium의 흡수량이 증가하고 hypercalciuria가 발생할 수 있다는 차이가 있습니다. … 또한 mild edema에도 사용되며 hypercalciuria 환자나 calcium oxalate 신장결석이 있는 환자에게도 사용할 수 있습니다. 또한 nephrogenic diabetes insipidus에서도 사용할 수 있는데, 이는 인효제인데 왜 diabetes insipidus에 사용하는지에 대한 이유는 체내의 sodium 배설이 증가하여 tubular flow가 감소하고 urine이 줄어드는 효과가 나타나기 때문입니다.",Faithful,,
diu_sr49,또한 nephrogenic diabetes insipidus에서도 사용할 수 있는데 이거는 이제 이뇨제인데 왜 diabetes insipidus에 사용하지라고 생각할 수 있는데 역설적으로 체내에 있는 나트륨을 줄이기 때문에 tubular flow가 감소해서 urine이 오히려 줄어드는 효과가 나타나기 때문입니다.,"또한 mild edema에도 사용되며 hypercalciuria 환자나 calcium oxalate 신장결석이 있는 환자에게도 사용할 수 있습니다. 또한 nephrogenic diabetes insipidus에서도 사용할 수 있는데, 이는 인효제인데 왜 diabetes insipidus에 사용하는지에 대한 이유는 체내의 sodium 배설이 증가하여 tubular flow가 감소하고 urine이 줄어드는 효과가 나타나기 때문입니다. … 또한 hyponatremia가 발생할 수 있는데, 이는 loop diuretics보다 더 흔하게 발생하기 때문에 좀 더 주의해야 합니다.",Faithful,,
diu_sr50,이제 부작용들에 대해 알아보겠습니다.,이제 부작용들에 대해 알아보겠습니다.,Faithful,,
diu_sr51,"당연히 hypokalemia 일어날 수 있고, metabolic alkalosis 일어날 수 있습니다.","당연히 hypokalemia가 발생할 수 있고 metabolic alkalosis가 발생할 수 있습니다. … hypercalcemia가 발생할 수 있고 hyperglycemia, hyperuricemia가 발생할 수 있습니다.",Faithful,,
