term_id,canonical_english,english_variants,korean_phonetic,category,polarity_group,polarity_value,keep,ref_count_auto,notes
collagenase,collagenase,,콜라겐 에이스|콜라게네이즈,,,,1,1,
collateral,Collateral,,,,,,0,2,
collateral_damage,collateral damage,,,,,,1,1,
complement_system,complement system,,컴플리멘트 시스템,,,,1,1,
conformational_change,conformational change,,,,,,1,1,
congestive_heart_failure,Congestive Heart Failure,,,,,,1,1,
connective_tissue,connective tissue,,커넥티브 티슈,,,,1,1,
contraction,Contraction,,,,,,0,2,
crp,CRP,,,,,,1,1,
damaged_tissue,Damaged Tissue,,,,,,1,1,
defensin,defensin,,디펜진|디펜신,,,,1,1,
diapedesis,Diapedesis,,다이아페디시스|다이아베티스,,,,1,1,
dic,DIC,,,,,,1,1,
direct,Direct,,,,,,0,1,
dolor,Dolor,,,,,,1,1,
endothelial_activation,endothelial activation,,,,,,1,1,
endothelial_cell,Endothelial Cell,,엔드셀리얼 셀|엔도셀리얼 셀,,,,1,2,
endothelial_cell_contraction,Endothelial Cell Contraction,,엔드셀리얼 셀 컨트랙션,,,,1,1,
endothelial_junction,endothelial junction,,,,,,1,1,
endothelial_layer,Endothelial Layer,,,,,,1,1,
engulf,engulf,,,,,,0,1,
enzyme,enzyme,,,,,,0,1,
fibrinogen,fibrinogen,,파이브리노젠,,,,1,1,
fibrosis,fibrosis,,파이브로시스,,,,1,1,
functio_laesa,functio laesa,,,,,,1,1,
granuloma,granuloma,,그랜드로마|그랜드로마,,,,1,1,
high_affinity,high affinity,,하이어 피니티|하이 어피니티,,,,1,1,
hocl,HOCl,,,,,,1,1,
homophilic_binding,homophilic binding,,호모필릭 바인딩,,,,1,1,
hydrostatic_pressure,Hydrostatic Pressure,,,,,,1,1,
hypothalamus,hypothalamus,,하이퍼살라무스,,,,1,1,
hypotension,hypotension,,하이포텐션,electrolyte/acid-base,blood_pressure,low,1,1,
il-8,IL-8,,,,,,1,1,
infection,infection,,인펙션,,,,1,1,
injured,Injured,,,,,,0,1,
kinin,kinin,,키닌,,,,1,2,
kinin_system,Kinin system,,,,,,1,1,
l-selectin,L-selectin,,,,,,1,1,
left_shift,left shift,,레프트 쉬프트,,,,1,1,
leukocyte_activation,leukocyte activation,,,,,,1,2,
leukocyte_activation_and_killing,Leukocyte Activation and Killing,,,,,,0,1,
leukocyte_recruitment_cascade,leukocyte Recruitment Cascade,,,,,,0,1,
leukocytosis,leukocytosis,,루코사이토시스,,,,1,1,
leukotriene_b4,leukotriene B4,LTB4|LT-B4,루코트린 b4,,,,1,3,
liver,liver,,리버,,,,1,1,
loss_of_function,Loss of Function,,,,,,1,1,
lox_pathway,LOX pathway,,록스 패스웨이|록스페이스웨이,,,,1,1,
lt-b4,LT-B4,,,,,,0,1,merged into leukotriene_b4
ltb4,LTB4,,,,,,0,1,merged into leukotriene_b4
ltc4,LTC4,,,,,,1,1,
lymphocyte,lymphocyte,,림포사이트,,,,1,1,
lysosome,lysosome,,라이소솜,,,,1,1,
lysozyme,lysozyme,,라이소자임,,,,1,1,
major_basic_protein,major basic protein,MBP,메이저 베이직 프로틴,,,,1,2,
margination_and_rolling,margination and rolling,,,,,,0,1,
mast_cell,mast cell,,,,,,1,2,
mast_cell_degranulation,mast cell degranulation,,,,,,1,1,
mbp,MBP,,,,,,0,1,merged into major_basic_protein
mediate,mediate,,,,,,0,1,
mediation,mediation,,,,,,0,1,
membrane_attack_complex,membrane attack complex,,멘브린 어택 컴플렉스|멤브레 아택 컴플렉스,,,,1,1,
myeloperoxidase,myeloperoxidase,,마일로포록시데이스|마일로 퍼옥시데이스,,,,1,1,
n-formylmethionine,N-formylmethionine,,,,,,1,1,
nadph_oxidase,NADPH oxidase,,,,,,1,1,
no,NO,,,,,,1,1,
pecam-1,PECAM-1,,,,,,1,1,
peptide,peptide,,,,,,1,1,
persistent_stimulus,persistent stimulus,,퍼시스텐트 스티밀러스|퍼시스턴 스티뮬러스,,,,1,1,
pge2,PGE2,,,,,,0,1,merged into prostaglandin_e2
phagolysosome,phagolysosome,,파고라이소솜|파고 라이소솜,,,,1,1,
prostaglandin_e2,prostaglandin E2,PGE2,,,,,1,2,
protein_rich,Protein Rich,,,,,,0,1,
pseudopod,pseudopod,,,,,,1,1,
reactive_oxygen_species,reactive oxygen species,,,,,,1,1,
red_blood_cell,Red Blood Cell,,레드블럭 셀|레드 블러드 셀,,,,1,1,
release,release,,,,,,0,1,
resolution,Resolution,,레솔루션,,,,1,1,
rubor,Rubor,,,,,,1,1,
scarring,scarring,,스커링|스컬링,,,,1,1,
selectin_ligand,selectin ligand,,,,,,1,1,
sepsis,sepsis,,섹시스|셉시스,,,,1,1,
set_point,set point,,,,,,0,1,
site,site,,,,,,0,1,
specific_gravity,Specific Gravity,,,,,,1,1,
superoxide,superoxide,,수포록사이드|슈퍼옥사이드,,,,1,1,
swelling,Swelling,,,,,,1,1,
systemic_effect,systemic effect,,,,,,1,1,
systemic_vasodilation,systemic vasodilation,,,,,,1,1,
thromboxane,thromboxane,,스럼복사|스론복스안,,,,1,1,
tissue,tissue,,,,,,0,6,
tissue_damage,tissue damage,,티슈 데미지,,,,1,1,
transient_vasoconstriction,Transient Vasoconstriction,,트랜지언트 베소 컨스트릭션,,,,1,1,
tumor,Tumor,,,,,,1,1,
upregulation,upregulation,,,,,,1,1,
vascular,Vascular,,베스큘러|베스킬러,,,,1,9,
vascular_change,Vascular Change,,베스킬러 체인지|베스큘러 체인지,,,,1,1,
vasoactive_amines,Vasoactive amines,,베소 액티브 아민|베소액티브 아민,,,,1,1,
vasoconstriction,vasoconstriction,,베소 컨스트릭션|베소건스트릭션|베소컨스트릭션,,vessel_tone,constriction,1,2,
venule,venule,,,,,,1,1,
vessel_wall,vessel wall,,,,,,1,1,
weibel-palade_body,Weibel-Palade body,,,,,,1,1,
